Home_Location,Qualification,Job_Domain,Employment_Type,Company_Size,Joining_Period,Experience_Years,Salary
Raigarh,B.Com,HR Executive,Full Time,Large,3 Months,7,76000
Mahasamund,12th Pass,Accountant,Part Time,Small,2 Months,5,16000
Tilda Newra,BBA,HR Executive,Contract,Large,Immediately,0,51000
Bhatapara,BBA,Business Analyst,Full Time,Small,2 Months,10,126000
Mungeli,12th Pass,Customer Support,Full Time,Medium,30 Days,7,29000
Mahasamund,MBA,HR Executive,Full Time,Medium,2 Months,9,150000
Naila Janjgir,M.Com,Digital Marketing Executive,Part Time,Medium,2 Months,3,63000
Durg,MBA,MIS Executive,Full Time,Large,30 Days,5,150000
Raigarh,Diploma,Customer Support,Full Time,Small,30 Days,6,26000
Bhatapara,BA,Accountant,Full Time,Medium,15 Days,0,36000
Jagdalpur,BA,Business Analyst,Full Time,Medium,Immediately,3,59000
Bemetra,BA,Digital Marketing Executive,Full Time,Large,30 Days,10,83000
Bilaspur,BA,Digital Marketing Executive,Full Time,Medium,30 Days,7,63000
Durg,BA,MIS Executive,Full Time,Medium,45 Days,6,61000
Jagdalpur,12th Pass,Sales Executive,Part Time,Small,2 Months,6,17000
Ambikapur,12th Pass,Content Writer,Full Time,Medium,30 Days,1,18000
Raipur,Diploma,Accountant,Full Time,Medium,3 Months,10,60000
Dhamtari,BBA,Account Manager,Full Time,Large,15 Days,3,108000
Mungeli,B.Com,Account Manager,Full Time,Large,3 Months,5,89000
Korba,B.Com,HR Executive,Full Time,Medium,45 Days,7,65000
Sakti,M.Com,MIS Executive,Full Time,Medium,30 Days,13,150000
Bemetra,MBA,HR Executive,Full Time,Large,Immediately,8,150000
Ambikapur,BBA,MIS Executive,Full Time,Large,15 Days,4,94000
Manendragarh,12th Pass,Content Writer,Full Time,Small,45 Days,3,21000
Dhamtari,12th Pass,Customer Support,Full Time,Large,30 Days,3,26000
Dhamtari,M.Com,Digital Marketing Executive,Full Time,Medium,2 Months,8,142000
Sakti,Diploma,Computer Operator,Full Time,Large,3 Months,7,40000
Manendragarh,B.Com,Digital Marketing Executive,Full Time,Small,2 Months,0,38000
Raipur,Diploma,Sales Executive,Full Time,Large,45 Days,7,64000
Durg,BCA,Account Manager,Full Time,Medium,45 Days,13,134000
Bhilai,MA,Account Manager,Part Time,Large,2 Months,14,137000
Sakti,M.Com,Digital Marketing Executive,Full Time,Medium,2 Months,8,150000
Durg,BBA,HR Executive,Full Time,Small,30 Days,4,49000
Dhamtari,MA,Account Manager,Full Time,Large,45 Days,1,97000
Raigarh,BCA,Sales Executive,Full Time,Medium,30 Days,12,93000
Bemetra,Diploma,Computer Operator,Contract,Large,2 Months,2,25000
Manendragarh,BCA,Sales Executive,Full Time,Medium,30 Days,4,73000
Sakti,MA,Account Manager,Intern,Large,3 Months,2,44000
Mungeli,10th Pass,Customer Support,Full Time,Large,30 Days,6,23000
Dalli-Rajhara,MBA,Digital Marketing Executive,Full Time,Medium,15 Days,17,150000
Bilaspur,MBA,HR Executive,Full Time,Medium,30 Days,7,142000
Naila Janjgir,M.Com,HR Executive,Full Time,Medium,45 Days,10,135000
Manendragarh,MBA,Digital Marketing Executive,Contract,Small,45 Days,11,150000
Dhamtari,MA,Account Manager,Full Time,Large,45 Days,15,150000
Tilda Newra,12th Pass,Customer Support,Full Time,Large,30 Days,0,20000
Bhatapara,MBA,Account Manager,Contract,Small,45 Days,9,150000
Mungeli,BCA,MIS Executive,Part Time,Medium,30 Days,10,61000
Tilda Newra,MBA,HR Executive,Full Time,Medium,2 Months,13,150000
Bhatapara,BBA,Sales Executive,Contract,Small,45 Days,11,74000
Bilaspur,BA,Content Writer,Full Time,Small,30 Days,2,31000
Korba,MBA,Business Analyst,Contract,Medium,3 Months,8,150000
Durg,BCA,HR Executive,Contract,Medium,3 Months,6,60000
Durg,MBA,HR Executive,Full Time,Small,3 Months,10,150000
Bhilai,BA,HR Executive,Full Time,Medium,30 Days,15,66000
Korba,10th Pass,Customer Support,Full Time,Small,30 Days,2,12000
Jagdalpur,12th Pass,Accountant,Contract,Medium,15 Days,3,24000
Manendragarh,BCA,MIS Executive,Full Time,Small,3 Months,7,78000
Raigarh,BA,MIS Executive,Contract,Medium,15 Days,7,53000
Bhatapara,BCA,Account Manager,Full Time,Medium,3 Months,12,150000
Jagdalpur,MA,Digital Marketing Executive,Part Time,Large,30 Days,16,112000
Naila Janjgir,Diploma,Computer Operator,Part Time,Small,30 Days,0,12000
Chirmiri,BA,Accountant,Full Time,Large,15 Days,2,53000
Bhilai,MBA,Digital Marketing Executive,Intern,Medium,15 Days,16,124000
Durg,BA,MIS Executive,Full Time,Medium,45 Days,14,89000
Jagdalpur,BCA,Account Manager,Full Time,Medium,3 Months,5,98000
Dhamtari,BBA,HR Executive,Full Time,Large,15 Days,7,96000
Korba,MBA,MIS Executive,Full Time,Medium,45 Days,4,150000
Bhilai,BA,Content Writer,Part Time,Medium,2 Months,2,21000
Bhilai,BBA,MIS Executive,Full Time,Large,2 Months,3,78000
Durg,BCA,Content Writer,Full Time,Large,30 Days,1,51000
Raigarh,B.Com,Accountant,Contract,Small,30 Days,2,39000
Raipur,BBA,Accountant,Contract,Medium,15 Days,2,48000
Raipur,Diploma,Customer Support,Contract,Medium,Immediately,0,18000
Bhilai,10th Pass,Sales Executive,Full Time,Large,30 Days,3,24000
Mungeli,MBA,Business Analyst,Full Time,Medium,3 Months,10,150000
Naila Janjgir,BA,Content Writer,Contract,Small,15 Days,1,22000
Bhatapara,MA,Digital Marketing Executive,Full Time,Large,45 Days,9,146000
Naila Janjgir,12th Pass,Content Writer,Full Time,Small,3 Months,7,27000
Korba,B.Com,MIS Executive,Contract,Large,Immediately,4,64000
Manendragarh,12th Pass,Customer Support,Full Time,Small,45 Days,8,22000
Bilaspur,B.Com,HR Executive,Full Time,Medium,30 Days,10,69000
Manendragarh,MBA,Sales Executive,Full Time,Medium,15 Days,2,107000
Bemetra,M.Com,HR Executive,Full Time,Large,Immediately,20,150000
Dhamtari,BCA,HR Executive,Full Time,Medium,15 Days,4,61000
Durg,12th Pass,Sales Executive,Full Time,Large,30 Days,5,37000
Durg,BCA,Sales Executive,Full Time,Small,2 Months,11,71000
Naila Janjgir,MBA,HR Executive,Full Time,Medium,2 Months,8,140000
Dhamtari,BCA,Sales Executive,Full Time,Small,3 Months,7,60000
Mahasamund,BBA,MIS Executive,Full Time,Small,2 Months,9,77000
Bhatapara,BBA,Account Manager,Full Time,Large,Immediately,5,127000
Dhamtari,MA,MIS Executive,Full Time,Small,3 Months,7,98000
Dalli-Rajhara,MBA,Business Analyst,Full Time,Small,45 Days,12,150000
Rajnandgaon,BCA,MIS Executive,Full Time,Small,15 Days,8,86000
Bhilai,B.Com,HR Executive,Full Time,Small,15 Days,2,38000
Naila Janjgir,12th Pass,Content Writer,Part Time,Large,45 Days,6,23000
Naila Janjgir,MA,Account Manager,Full Time,Small,2 Months,6,109000
Naila Janjgir,B.Com,Business Analyst,Full Time,Small,2 Months,4,64000
Naila Janjgir,12th Pass,Content Writer,Full Time,Large,45 Days,4,33000
Tilda Newra,MA,HR Executive,Full Time,Large,15 Days,6,113000
Rajnandgaon,B.Com,Sales Executive,Full Time,Small,45 Days,10,67000
Dalli-Rajhara,Diploma,Content Writer,Full Time,Medium,Immediately,4,32000
Ambikapur,B.Com,MIS Executive,Contract,Large,3 Months,6,73000
Dhamtari,12th Pass,Computer Operator,Part Time,Large,15 Days,1,13000
Mungeli,BCA,Digital Marketing Executive,Full Time,Small,45 Days,5,63000
Raigarh,Diploma,Content Writer,Intern,Small,30 Days,12,18000
Bilaspur,M.Com,HR Executive,Full Time,Large,2 Months,16,150000
Bilaspur,Diploma,Content Writer,Full Time,Medium,45 Days,2,30000
Tilda Newra,MBA,Sales Executive,Full Time,Small,2 Months,4,115000
Dalli-Rajhara,BCA,Sales Executive,Part Time,Small,3 Months,11,45000
Mungeli,MBA,Business Analyst,Full Time,Small,2 Months,14,150000
Naila Janjgir,Diploma,Customer Support,Contract,Medium,45 Days,7,31000
Raipur,BA,Digital Marketing Executive,Contract,Medium,3 Months,12,79000
Tilda Newra,Diploma,Customer Support,Full Time,Medium,3 Months,7,31000
Dhamtari,Diploma,Sales Executive,Full Time,Small,Immediately,6,40000
Manendragarh,MBA,HR Executive,Full Time,Small,45 Days,8,129000
Dalli-Rajhara,10th Pass,Sales Executive,Part Time,Small,Immediately,1,12000
Raipur,M.Com,HR Executive,Contract,Medium,Immediately,9,108000
Jagdalpur,10th Pass,Customer Support,Part Time,Large,Immediately,0,12000
Naila Janjgir,Diploma,Customer Support,Full Time,Large,30 Days,5,39000
Raigarh,MBA,HR Executive,Full Time,Small,30 Days,4,106000
Chirmiri,MBA,Sales Executive,Contract,Small,30 Days,4,92000
Rajnandgaon,BA,MIS Executive,Full Time,Medium,30 Days,10,74000
Bemetra,12th Pass,Content Writer,Full Time,Small,30 Days,6,24000
Naila Janjgir,BCA,Digital Marketing Executive,Full Time,Medium,2 Months,6,90000
Bhatapara,BA,Sales Executive,Part Time,Medium,30 Days,0,18000
Korba,MA,Business Analyst,Full Time,Small,2 Months,8,131000
Chirmiri,10th Pass,Customer Support,Full Time,Medium,15 Days,5,15000
Raipur,B.Com,Account Manager,Full Time,Large,30 Days,3,77000
Dhamtari,BCA,Sales Executive,Contract,Large,45 Days,8,97000
Mahasamund,MBA,Business Analyst,Full Time,Large,15 Days,8,150000
Chirmiri,Diploma,Customer Support,Full Time,Large,3 Months,12,58000
Chirmiri,MBA,HR Executive,Part Time,Medium,45 Days,9,90000
Dalli-Rajhara,BCA,Sales Executive,Part Time,Medium,15 Days,7,54000
Korba,MBA,Digital Marketing Executive,Full Time,Large,30 Days,9,150000
Rajnandgaon,10th Pass,Customer Support,Full Time,Small,2 Months,6,16000
Manendragarh,BCA,Digital Marketing Executive,Full Time,Medium,30 Days,9,99000
Bemetra,Diploma,Customer Support,Contract,Large,30 Days,2,27000
Ambikapur,10th Pass,Sales Executive,Full Time,Large,45 Days,5,25000
Jagdalpur,M.Com,MIS Executive,Full Time,Large,45 Days,5,140000
Bemetra,BA,MIS Executive,Full Time,Small,45 Days,3,44000
Manendragarh,BA,Sales Executive,Full Time,Small,45 Days,5,39000
Dalli-Rajhara,12th Pass,Accountant,Intern,Small,2 Months,3,11000
Mungeli,B.Com,Content Writer,Full Time,Medium,30 Days,2,42000
Sakti,M.Com,Account Manager,Full Time,Medium,15 Days,4,136000
Dalli-Rajhara,MBA,HR Executive,Contract,Small,30 Days,1,70000
Manendragarh,BA,MIS Executive,Full Time,Medium,30 Days,3,46000
Bhilai,MA,Account Manager,Full Time,Medium,3 Months,2,89000
Bilaspur,Diploma,Accountant,Full Time,Small,2 Months,6,40000
Bemetra,Diploma,Computer Operator,Full Time,Medium,3 Months,2,22000
Sakti,B.Com,HR Executive,Full Time,Medium,Immediately,7,55000
Tilda Newra,BA,Accountant,Intern,Medium,30 Days,0,14000
Bemetra,10th Pass,Sales Executive,Full Time,Medium,30 Days,1,17000
Dalli-Rajhara,12th Pass,Computer Operator,Full Time,Small,15 Days,3,16000
Korba,MBA,Business Analyst,Full Time,Large,30 Days,15,150000
Mahasamund,B.Com,Sales Executive,Full Time,Large,2 Months,13,123000
Ambikapur,BCA,Digital Marketing Executive,Full Time,Large,2 Months,3,93000
Tilda Newra,BBA,MIS Executive,Full Time,Medium,3 Months,7,88000
Chirmiri,MA,MIS Executive,Full Time,Small,30 Days,7,95000
Raigarh,MBA,Account Manager,Full Time,Large,45 Days,8,150000
Jagdalpur,MA,MIS Executive,Full Time,Large,Immediately,1,89000
Tilda Newra,Diploma,Content Writer,Part Time,Medium,45 Days,2,16000
Sakti,10th Pass,Sales Executive,Full Time,Small,2 Months,7,24000
Bhatapara,Diploma,Sales Executive,Full Time,Medium,45 Days,2,33000
Bhilai,10th Pass,Sales Executive,Full Time,Medium,3 Months,4,20000
Raigarh,Diploma,Computer Operator,Full Time,Small,2 Months,10,34000
Raigarh,10th Pass,Sales Executive,Full Time,Small,2 Months,7,20000
Korba,B.Com,HR Executive,Full Time,Medium,Immediately,1,37000
Sakti,BCA,Sales Executive,Full Time,Small,30 Days,12,87000
Dhamtari,MBA,HR Executive,Full Time,Large,3 Months,7,150000
Naila Janjgir,BBA,Digital Marketing Executive,Intern,Large,30 Days,13,68000
Jagdalpur,M.Com,Account Manager,Part Time,Large,3 Months,16,150000
Manendragarh,B.Com,Sales Executive,Full Time,Large,15 Days,1,58000
Tilda Newra,MBA,MIS Executive,Contract,Small,30 Days,4,94000
Naila Janjgir,BA,Accountant,Contract,Large,30 Days,0,40000
Chirmiri,BBA,Content Writer,Full Time,Large,3 Months,0,46000
Korba,MBA,Account Manager,Intern,Large,2 Months,7,106000
Durg,BA,Business Analyst,Intern,Large,3 Months,6,36000
Mungeli,12th Pass,Content Writer,Full Time,Small,15 Days,4,18000
Bhatapara,BCA,Sales Executive,Full Time,Small,30 Days,6,69000
Bemetra,12th Pass,Content Writer,Full Time,Small,15 Days,5,23000
Naila Janjgir,10th Pass,Customer Support,Part Time,Small,30 Days,0,12000
Bemetra,BCA,Sales Executive,Part Time,Large,30 Days,5,62000
Bilaspur,M.Com,Digital Marketing Executive,Contract,Large,3 Months,5,142000
Bhatapara,BA,Customer Support,Part Time,Large,15 Days,0,18000
Korba,M.Com,Sales Executive,Contract,Medium,30 Days,4,97000
Mahasamund,Diploma,Customer Support,Full Time,Large,30 Days,4,37000
Bemetra,BBA,HR Executive,Full Time,Large,15 Days,6,94000
Dhamtari,M.Com,Sales Executive,Full Time,Small,15 Days,4,92000
Raigarh,MBA,HR Executive,Contract,Medium,45 Days,19,150000
Chirmiri,M.Com,Digital Marketing Executive,Contract,Large,45 Days,5,143000
Dalli-Rajhara,B.Com,MIS Executive,Full Time,Small,30 Days,12,70000
Korba,MA,Digital Marketing Executive,Full Time,Small,30 Days,7,100000
Tilda Newra,B.Com,HR Executive,Full Time,Medium,2 Months,7,61000
Mungeli,MBA,Business Analyst,Part Time,Small,15 Days,9,115000
Durg,10th Pass,Computer Operator,Full Time,Large,30 Days,5,16000
Raipur,MA,MIS Executive,Full Time,Small,45 Days,19,147000
Dalli-Rajhara,M.Com,HR Executive,Full Time,Small,15 Days,14,116000
Bhatapara,M.Com,Digital Marketing Executive,Full Time,Small,45 Days,6,118000
Bilaspur,BBA,Digital Marketing Executive,Full Time,Small,15 Days,1,50000
Sakti,Diploma,Computer Operator,Contract,Small,3 Months,6,24000
Ambikapur,MA,HR Executive,Full Time,Large,Immediately,1,75000
Dhamtari,BBA,Account Manager,Full Time,Small,45 Days,6,89000
Mungeli,M.Com,HR Executive,Intern,Large,Immediately,3,46000
Raipur,B.Com,MIS Executive,Full Time,Large,3 Months,6,83000
Bemetra,BA,Account Manager,Part Time,Medium,2 Months,6,35000
Bhilai,Diploma,Computer Operator,Full Time,Small,30 Days,9,28000
Manendragarh,Diploma,Content Writer,Full Time,Large,15 Days,6,44000
Raipur,MA,MIS Executive,Full Time,Medium,2 Months,6,110000
Bhatapara,BBA,Digital Marketing Executive,Full Time,Small,30 Days,2,48000
Durg,BA,Business Analyst,Full Time,Medium,15 Days,4,65000
Raipur,BBA,Customer Support,Full Time,Medium,45 Days,2,43000
Mahasamund,B.Com,Customer Support,Contract,Large,15 Days,2,43000
Jagdalpur,B.Com,Sales Executive,Full Time,Medium,3 Months,7,61000
Manendragarh,MA,Account Manager,Intern,Small,45 Days,9,50000
Tilda Newra,BCA,Business Analyst,Full Time,Small,30 Days,7,99000
Bhatapara,BA,Sales Executive,Full Time,Large,3 Months,7,74000
Durg,B.Com,Sales Executive,Part Time,Small,2 Months,11,42000
Bhatapara,10th Pass,Sales Executive,Intern,Medium,45 Days,5,8000
Sakti,M.Com,HR Executive,Full Time,Small,30 Days,14,146000
Bhilai,M.Com,Digital Marketing Executive,Full Time,Medium,2 Months,1,92000
Raigarh,Diploma,Content Writer,Full Time,Large,45 Days,5,45000
Bhilai,B.Com,Digital Marketing Executive,Contract,Small,30 Days,0,31000
Manendragarh,BBA,Customer Support,Intern,Medium,15 Days,2,16000
Sakti,BA,Business Analyst,Full Time,Medium,45 Days,3,60000
Rajnandgaon,12th Pass,Accountant,Full Time,Medium,45 Days,6,36000
Bhatapara,M.Com,HR Executive,Full Time,Large,15 Days,16,150000
Bemetra,Diploma,Computer Operator,Full Time,Large,15 Days,12,45000
Bhatapara,Diploma,Accountant,Full Time,Medium,30 Days,2,33000
Rajnandgaon,M.Com,MIS Executive,Full Time,Medium,15 Days,3,107000
Raigarh,B.Com,Digital Marketing Executive,Intern,Medium,45 Days,13,41000
Rajnandgaon,BA,Business Analyst,Full Time,Small,2 Months,10,65000
Sakti,BBA,Content Writer,Part Time,Large,30 Days,2,37000
Bilaspur,BCA,Sales Executive,Full Time,Large,30 Days,9,118000
Ambikapur,BBA,Content Writer,Contract,Medium,Immediately,0,33000
Bemetra,BBA,HR Executive,Full Time,Large,2 Months,5,91000
Bemetra,10th Pass,Customer Support,Full Time,Large,3 Months,4,19000
Korba,M.Com,Business Analyst,Contract,Medium,3 Months,19,150000
Bhatapara,Diploma,Customer Support,Full Time,Medium,2 Months,5,31000
Bhatapara,12th Pass,Sales Executive,Full Time,Large,2 Months,6,45000
Naila Janjgir,MBA,HR Executive,Part Time,Large,15 Days,1,69000
Ambikapur,BBA,Business Analyst,Part Time,Medium,30 Days,11,83000
Bilaspur,MBA,Business Analyst,Full Time,Small,3 Months,15,150000
Raigarh,Diploma,Content Writer,Intern,Large,45 Days,0,13000
Durg,BCA,MIS Executive,Full Time,Medium,2 Months,5,75000
Bhilai,BBA,Digital Marketing Executive,Full Time,Small,Immediately,1,49000
Dalli-Rajhara,MBA,Business Analyst,Full Time,Large,15 Days,6,150000
Korba,12th Pass,Computer Operator,Part Time,Medium,45 Days,2,12000
Rajnandgaon,Diploma,Accountant,Part Time,Medium,Immediately,0,18000
Bhilai,MA,HR Executive,Part Time,Small,30 Days,4,43000
Durg,B.Com,MIS Executive,Full Time,Small,2 Months,8,71000
Mungeli,10th Pass,Computer Operator,Full Time,Large,2 Months,7,18000
Tilda Newra,BBA,HR Executive,Full Time,Large,15 Days,1,68000
Manendragarh,B.Com,MIS Executive,Full Time,Large,45 Days,6,84000
Bilaspur,MA,Account Manager,Contract,Small,30 Days,5,88000
Manendragarh,BA,Account Manager,Full Time,Large,30 Days,6,82000
Mahasamund,BBA,Sales Executive,Full Time,Medium,2 Months,11,107000
Jagdalpur,BCA,Account Manager,Contract,Small,15 Days,3,55000
Rajnandgaon,Diploma,Sales Executive,Intern,Medium,30 Days,2,14000
Raipur,Diploma,Sales Executive,Part Time,Medium,15 Days,4,23000
Mungeli,MA,MIS Executive,Full Time,Medium,3 Months,8,103000
Mungeli,12th Pass,Customer Support,Full Time,Small,3 Months,6,21000
Manendragarh,BA,Account Manager,Full Time,Large,45 Days,11,104000
Chirmiri,B.Com,Accountant,Full Time,Small,45 Days,1,39000
Dhamtari,10th Pass,Customer Support,Full Time,Medium,45 Days,7,16000
Jagdalpur,MA,HR Executive,Full Time,Medium,3 Months,15,150000
Raipur,M.Com,Account Manager,Full Time,Medium,45 Days,11,150000
Bhatapara,10th Pass,Sales Executive,Full Time,Large,15 Days,7,29000
Durg,MBA,Digital Marketing Executive,Contract,Small,3 Months,15,150000
Bhilai,B.Com,Accountant,Full Time,Large,30 Days,1,54000
Dhamtari,BA,HR Executive,Contract,Medium,2 Months,2,35000
Durg,B.Com,Digital Marketing Executive,Full Time,Small,45 Days,4,45000
Manendragarh,MBA,Business Analyst,Intern,Medium,30 Days,7,77000
Bemetra,12th Pass,Computer Operator,Full Time,Small,3 Months,6,19000
Dhamtari,B.Com,Digital Marketing Executive,Contract,Medium,Immediately,0,41000
Naila Janjgir,M.Com,Business Analyst,Part Time,Small,15 Days,11,98000
Durg,BBA,MIS Executive,Full Time,Large,3 Months,6,107000
Durg,BBA,Digital Marketing Executive,Full Time,Medium,3 Months,13,117000
Raipur,BA,Business Analyst,Full Time,Medium,30 Days,10,79000
Bemetra,BCA,Sales Executive,Part Time,Large,45 Days,2,47000
Korba,MBA,MIS Executive,Full Time,Medium,3 Months,5,150000
Tilda Newra,M.Com,Digital Marketing Executive,Part Time,Large,30 Days,13,132000
Jagdalpur,BCA,Sales Executive,Contract,Small,2 Months,5,57000
Rajnandgaon,M.Com,Account Manager,Full Time,Small,30 Days,10,150000
Bhatapara,10th Pass,Sales Executive,Contract,Medium,3 Months,6,19000
Sakti,B.Com,MIS Executive,Full Time,Small,30 Days,12,76000
Dhamtari,BBA,Sales Executive,Full Time,Small,15 Days,10,73000
Raigarh,M.Com,HR Executive,Full Time,Small,30 Days,6,101000
Korba,10th Pass,Sales Executive,Part Time,Small,2 Months,4,12000
Mahasamund,BA,MIS Executive,Intern,Small,2 Months,5,19000
Bemetra,MBA,MIS Executive,Full Time,Medium,30 Days,3,121000
Sakti,BCA,Digital Marketing Executive,Contract,Medium,30 Days,0,44000
Sakti,B.Com,Digital Marketing Executive,Contract,Small,15 Days,14,79000
Mahasamund,B.Com,Digital Marketing Executive,Full Time,Medium,Immediately,1,46000
Naila Janjgir,12th Pass,Content Writer,Full Time,Large,30 Days,6,38000
Sakti,B.Com,Content Writer,Part Time,Large,Immediately,1,29000
Bhilai,10th Pass,Customer Support,Full Time,Small,2 Months,2,12000
Raipur,12th Pass,Content Writer,Contract,Medium,15 Days,4,22000
Manendragarh,12th Pass,Content Writer,Contract,Large,15 Days,1,21000
Tilda Newra,12th Pass,Accountant,Full Time,Small,Immediately,4,26000
Raigarh,MA,HR Executive,Part Time,Small,3 Months,2,31000
Manendragarh,BA,Account Manager,Full Time,Medium,2 Months,4,57000
Ambikapur,BCA,Digital Marketing Executive,Full Time,Large,45 Days,4,85000
Jagdalpur,B.Com,Sales Executive,Full Time,Large,30 Days,10,109000
Dhamtari,MBA,Digital Marketing Executive,Full Time,Small,2 Months,4,114000
Korba,M.Com,HR Executive,Contract,Small,45 Days,15,131000
Dalli-Rajhara,BBA,Account Manager,Intern,Small,45 Days,8,41000
Bhatapara,MA,HR Executive,Full Time,Large,30 Days,2,81000
Dalli-Rajhara,10th Pass,Computer Operator,Full Time,Small,45 Days,8,17000
Manendragarh,12th Pass,Computer Operator,Contract,Medium,Immediately,0,13000
Korba,MBA,MIS Executive,Full Time,Large,2 Months,5,150000
Tilda Newra,B.Com,Digital Marketing Executive,Contract,Medium,Immediately,0,37000
Bhilai,BCA,HR Executive,Full Time,Small,3 Months,12,87000
Durg,BCA,HR Executive,Full Time,Small,3 Months,11,77000
Mungeli,M.Com,Business Analyst,Full Time,Small,2 Months,16,150000
Raigarh,M.Com,Account Manager,Part Time,Small,30 Days,10,99000
Bhatapara,BBA,Sales Executive,Contract,Large,2 Months,7,88000
Manendragarh,MBA,HR Executive,Full Time,Medium,3 Months,8,150000
Rajnandgaon,12th Pass,Sales Executive,Part Time,Large,15 Days,3,19000
Raipur,BBA,Sales Executive,Full Time,Large,3 Months,6,100000
Ambikapur,10th Pass,Customer Support,Contract,Medium,2 Months,4,13000
Bhilai,BCA,Sales Executive,Full Time,Small,2 Months,6,67000
Tilda Newra,MA,Business Analyst,Full Time,Small,30 Days,5,96000
Bemetra,BCA,Account Manager,Full Time,Medium,45 Days,3,82000
Bhatapara,BCA,Business Analyst,Full Time,Large,2 Months,6,121000
Chirmiri,BBA,HR Executive,Full Time,Large,30 Days,7,97000
Ambikapur,BCA,Digital Marketing Executive,Contract,Large,45 Days,2,71000
Jagdalpur,B.Com,MIS Executive,Contract,Large,30 Days,3,63000
Bilaspur,MA,Digital Marketing Executive,Full Time,Large,2 Months,2,103000
Dhamtari,M.Com,HR Executive,Full Time,Medium,3 Months,7,99000
Mahasamund,BA,Digital Marketing Executive,Full Time,Large,15 Days,13,110000
Ambikapur,B.Com,Content Writer,Contract,Small,Immediately,0,25000
Bhatapara,12th Pass,Content Writer,Intern,Medium,30 Days,3,8000
Raigarh,B.Com,Sales Executive,Full Time,Small,2 Months,12,73000
Mungeli,B.Com,Content Writer,Full Time,Large,Immediately,1,49000
Mahasamund,MBA,HR Executive,Contract,Medium,3 Months,14,150000
Raipur,B.Com,Business Analyst,Full Time,Small,3 Months,8,69000
Bhatapara,M.Com,Business Analyst,Full Time,Large,45 Days,6,150000
Bhilai,12th Pass,Sales Executive,Part Time,Medium,Immediately,0,13000
